GFDL_varname,CMOR_varname,standard_name,long_name,mipTable,cmor_units
tauvpbl,tauvpbl,surface_downward_northward_stress_due_to_boundary_layer_mixing,northward surface stress from planetary boundary layer scheme,Eday,Pa,
tauu,tauu,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Eday,Pa,
tauv,tauv,surface_downward_northward_stress,Surface Downward Northward Wind Stress,Eday,Pa,
hus,hus,specific_humidity,Specific Humidity,Eday,1,
ta,ta,air_temperature,Air Temperature,Eday,K,
wap,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),Eday,Pa s-1,
zg,zg,geopotential_height,Geopotential Height,EdayZ,m,
somint,somint,integral_wrt_depth_of_product_of_sea_water_density_and_salinity,integral wrt depth of product of sea water density and salinity,Emon,1e-3 kg m-2,
opottempmint,opottempmint,integral_wrt_depth_of_product_of_sea_water_density_and_potential_temperature,integral wrt depth of product of sea water density and potential temperature,Emon,degC kg m-2,
ocontempmint,ocontempmint,integral_wrt_depth_of_product_of_sea_water_density_and_conservative_temperature,integral wrt depth of product of sea water density and conservative temperature,Emon,degC kg m-2,
pathetao,pathetao,sea_water_added_potential_temperature,Sea Water Additional Potential Temperature,Emon,degC,
prthetao,prthetao,sea_water_redistributed_potential_temperature,Sea Water Resdistributed Potential Temperature,Emon,degC,
pabigthetao,pabigthetao,sea_water_added_conservative_temperature,Sea Water Added Conservative Temperature,Emon,degC,
prbigthetao,prbigthetao,sea_water_redistributed_conservative_temperature,Sea Water Redistributed Conservative Temperature,Emon,degC,
opottemptend,opottemptend,tendency_of_sea_water_potential_temperature_expressed_as_heat_content,tendency of sea water potential temperature expressed as heat content,Emon,W m-2,
opottemprmadvect,opottemprmadvect,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection,tendency of sea water potential temperature expressed as heat content due to residual mean advection,Emon,W m-2,
opottemppadvect,opottemppadvect,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,tendency of sea water potential temperature expressed as heat content due to parameterized eddy advection,Emon,W m-2,
opottemppmdiff,opottemppmdiff,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion,tendency of sea water potential temperature expressed as heat content due to parameterized mesoscale diffusion,Emon,W m-2,
opottemppsmadvect,opottemppsmadvect,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection,tendency of sea water potential temperature expressed as heat content due to parameterized submesoscale advection,Emon,W m-2,
opottempdiff,opottempdiff,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_dianeutral_mixing,tendency of sea water potential temperature expressed as heat content due to parameterized dianeutral mixing,Emon,W m-2,
ocontemptend,ocontemptend,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content,tendency of sea water conservative temperature expressed as heat content,Emon,W m-2,
ocontemprmadvect,ocontemprmadvect,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_residual_mean_advection,tendency of sea water conservative temperature expressed as heat content due to residual mean (sum of Eulerian + parameterized) advection,Emon,W m-2,
ocontemppadvect,ocontemppadvect,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,tendency of sea water conservative temperature expressed as heat content due to parameterized eddy advection,Emon,W m-2,
ocontemppmdiff,ocontemppmdiff,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion,tendency of sea water conservative temperature expressed as heat content due to parameterized mesoscale diffusion,Emon,W m-2,
ocontemppsmadvect,ocontemppsmadvect,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection,tendency of sea water conservative temperature expressed as heat content due to parameterized submesoscale advection,Emon,W m-2,
ocontempdiff,ocontempdiff,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_dianeutral_mixing,tendency of sea water conservative temperature expressed as heat content due to parameterized dianeutral mixing,Emon,W m-2,
osalttend,osalttend,tendency_of_sea_water_salinity_expressed_as_salt_content,tendency of sea water salinity expressed as salt content,Emon,kg m-2 s-1,
osaltrmadvect,osaltrmadvect,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_residual_mean_advection,tendency of sea water salinity expressed as salt content due to residual mean advection,Emon,kg m-2 s-1,
osaltpadvect,osaltpadvect,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_advection,tendency of sea water salinity expressed as salt content due to parameterized eddy advection,Emon,kg m-2 s-1,
osaltpmdiff,osaltpmdiff,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_mesoscale_eddy_diffusion,tendency of sea water salinity expressed as salt content due to parameterized mesoscale diffusion,Emon,kg m-2 s-1,
osaltpsmadvect,osaltpsmadvect,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_submesoscale_eddy_advection,tendency of sea water salinity expressed as salt content due to parameterized submesoscale advection,Emon,kg m-2 s-1,
osaltdiff,osaltdiff,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_dianeutral_mixing,tendency of sea water salinity expressed as salt content due to parameterized dianeutral mixing,Emon,kg m-2 s-1,
rsdoabsorb,rsdoabsorb,net_rate_of_absorption_of_shortwave_energy_in_ocean_layer,net rate of absorption of shortwave energy in ocean layer,Emon,W m-2,
uqint,uqint,integral_wrt_height_of_product_of_eastward_wind_and_specific_humidity,integrated_eastward_wind_times_humidity,Emon,m2 s-1,
vqint,vqint,integral_wrt_height_of_product_of_northward_wind_and_specific_humidity,integrated_northward_wind_times_humidity,Emon,m2 s-1,
ua,ua,eastward_wind,Eastward Wind,Eday,m s-1,
va,va,northward_wind,Northward Wind,Eday,m s-1,
ua,ua,eastward_wind,Eastward Wind,6hrPlevPt,m s-1,
va,va,northward_wind,Northward Wind,6hrPlevPt,m s-1,
wap4,wap4,lagrangian_tendency_of_air_pressure,omega (=dp/dt),6hrPlev,Pa s-1,
hus4,hus4,specific_humidity,Specific Humidity,6hrPlev,1,
psl,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,CF3hr,Pa,
prcsh,prcsh,shallow_convective_precipitation_flux,Precipitation Flux from Shallow Convection,E3hr,kg m-2 s-1,
wap7h,wap7h,lagrangian_tendency_of_air_pressure,omega (=dp/dt),E3hrPt,Pa s-1,
pr,pr,precipitation_flux,Precipitation,E1hr,kg m-2 s-1,
prc,prc,convective_precipitation_flux,Convective Precipitation,E1hr,kg m-2 s-1,
columnmassflux,columnmassflux,atmosphere_net_upward_convective_mass_flux,Column Integrated Mass Flux,Emon,kg m-2 s-1,
u2,u2,square_of_eastward_wind,square_of_eastward_wind,Emon,m2 s-2,
v2,v2,square_of_northward_wind,square_of_northwardwind,Emon,m2 s-2,
wap2,wap2,square_of_lagrangian_tendency_of_air_pressure,square_of_omega,Emon,Pa2 s-2,
t2,t2,square_of_air_temperature,square_of_air_temperature,Emon,K2,
uv,uv,product_of_eastward_wind_and_northward_wind,eastward_wind_times_northward_wind,Emon,m2 s-2,
uwap,uwap,product_of_eastward_wind_and_omega,eastward_wind_times_omega,Emon,Pa m s-2,
vwap,vwap,product_of_northward_wind_and_omega,northward_wind_times_omega,Emon,Pa m s-2,
ut,ut,product_of_eastward_wind_and_air_temperature,air_temperature_times_eastward_wind,Emon,K m s-1,
vt,vt,product_of_northward_wind_and_air_temperature,air_temperature_times_northward_wind,Emon,K m s-1,
twap,twap,product_of_omega_and_air_temperature,air_temperature_times_omega,Emon,K Pa s-1,
xgwdparam,xgwdparam,atmosphere_eastward_stress_due_to_gravity_wave_drag,x_gravity_wave_drag_param,Emon,Pa,
ygwdparam,ygwdparam,atmosphere_northward_stress_due_to_gravity_wave_drag,y_gravity_wave_drag_param,Emon,Pa,
xgwdparam,xgwdparam,atmosphere_eastward_stress_due_to_gravity_wave_drag,x_gravity_wave_drag_param,EmonZ,Pa,
ygwdparam,ygwdparam,atmosphere_northward_stress_due_to_gravity_wave_drag,y_gravity_wave_drag_param,EmonZ,Pa,
tntmp27,tntmp27,tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature due to Model Physics,Emon,K s-1,
tntrl27,tntrl27,tendency_of_air_temperature_due_to_longwave_heating,Longwave heating rate,Emon,K s-1,
tntrs27,tntrs27,tendency_of_air_temperature_due_to_shortwave_heating,Shortwave heating rate,Emon,K s-1,
ta27,ta27,air_temperature,Air Temperature,Emon,K,
ua27,ua27,eastward_wind,Eastward Wind,Emon,m s-1,
va27,va27,northward_wind,Northward Wind,Emon,m s-1,
zg27,zg27,geopotential_height,Geopotential Height,Emon,m,
hus27,hus27,specific_humidity,Specific Humidity,Emon,1,
cldicemxrat27,cldicemxrat27,cloud_ice_mixing_ratio,Cloud Ice Mixing Ratio,Emon,1,
cldwatmxrat27,cldwatmxrat27,cloud_liquid_water_mixing_ratio,Cloud Water Mixing Ratio,Emon,1,
rainmxrat27,rainmxrat27,mass_fraction_of_rain_in_air,rain_mixing_ratio,Emon,1,
snowmxrat27,snowmxrat27,mass_fraction_of_snow_in_air,snow_mixing_ratio,Emon,1,
grplmxrat27,grplmxrat27,mass_fraction_of_graupel_in_air,Graupel Mixing Ratio,Emon,1,
zg27,zg27,geopotential_height,Geopotential Height,6hrPlevPt,m,
ts,ts,surface_temperature,Surface Temperature,6hrPlevPt,K,
snw,snw,surface_snow_amount,Surface Snow Amount,6hrPlevPt,kg m-2,
dtaus,dtaus,atmosphere_optical_thickness_due_to_stratiform_cloud,Stratiform Cloud Optical Depth,6hrPlevPt,1,
dtauc,dtauc,atmosphere_optical_thickness_due_to_convective_cloud,Convective Cloud Optical Depth,6hrPlevPt,1,
rlut,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,E3hr,W m-2,
rsut,rsut,toa_outgoing_shortwave_flux,Top-of-Atmosphere Outgoing Shortwave Radiation,E3hr,W m-2,
rlutcs,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-sky Longwave Radiation,E3hr,W m-2,
rsutcs,rsutcs,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,E3hr,W m-2,
rsdt,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,E3hr,W m-2,
prw,prw,atmosphere_mass_content_of_water_vapor,Water Vapor Path,E3hr,kg m-2,
clwvi,clwvi,atmosphere_mass_content_of_cloud_condensed_water,Condensed Water Path,E3hr,kg m-2,
clivi,clivi,atmosphere_mass_content_of_cloud_ice,Ice Water Path,E3hr,kg m-2,
psl,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,E3hr,Pa,
clisccp,clisccp,cloud_area_fraction_in_atmosphere_layer,ISCCP Percentage Cloud Area,E3hrPt,%,
ua27,ua27,eastward_wind,Eastward Wind,E1hr,m s-1,
va27,va27,northward_wind,Northward Wind,E1hr,m s-1,
wap27,wap27,lagrangian_tendency_of_air_pressure,omega (=dp/dt),E1hr,Pa s-1,
ta27,ta27,air_temperature,Air Temperature,E1hr,K,
zg27,zg27,geopotential_height,Geopotential Height,E1hr,m,
tntr27,tntr27,tendency_of_air_temperature_due_to_radiative_heating,Tendency of Air Temperature due to Radiative Heating,E1hr,K s-1,
rlut,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,E1hr,W m-2,
psl,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,E1hr,Pa,
ua,ua,eastward_wind,Eastward Wind,E1hr,m s-1,
va,va,northward_wind,Northward Wind,E1hr,m s-1,
wap,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),E1hr,Pa s-1,
ta,ta,air_temperature,Air Temperature,E1hr,K,
pr,pr,precipitation_flux,Precipitation,Esubhr,kg m-2 s-1,
prc,prc,convective_precipitation_flux,Convective Precipitation,Esubhr,kg m-2 s-1,
tas,tas,air_temperature,Surface Air Temperature,Esubhr,K,
huss,huss,specific_humidity,Near-Surface Specific Humidity,Esubhr,1,
ua,ua,eastward_wind,Eastward Wind,Esubhr,m s-1,
va,va,northward_wind,Northward Wind,Esubhr,m s-1,
hfss,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,Esubhr,W m-2,
hfls,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,Esubhr,W m-2,
rsdt,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,Esubhr,W m-2,
rsut,rsut,toa_outgoing_shortwave_flux,Top-of-Atmosphere Outgoing Shortwave Radiation,Esubhr,W m-2,
rlut,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,Esubhr,W m-2,
prw,prw,atmosphere_mass_content_of_water_vapor,Water Vapor Path,Esubhr,kg m-2,
bldep,bldep,atmosphere_boundary_layer_thickness,Boundary Layer Depth,Esubhr,m,
wap,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),Esubhr,Pa s-1,
ta,ta,air_temperature,Air Temperature,Esubhr,K,
hus,hus,specific_humidity,Specific Humidity,Esubhr,1,
mc,mc,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,Esubhr,kg m-2 s-1,
tnt,tnt,tendency_of_air_temperature,Tendency of Air Temperature,Esubhr,K s-1,
tnhus,tnhus,tendency_of_specific_humidity,Tendency of Specific Humidity,Esubhr,s-1,
tsn,tsn,temperature_in_surface_snow,Snow Internal Temperature,LImon,K,
sftgif,sftgif,land_ice_area_fraction,Fraction of Grid Cell Covered with Glacier,LImon,%,
sftgrf,sftgrf,grounded_ice_sheet_area_fraction,Grounded Ice Sheet  Area Fraction,LImon,%,
sftflf,sftflf,floating_ice_shelf_area_fraction,Floating Ice Shelf  Area Fraction,LImon,%,
rss,rss,surface_net_downward_shortwave_flux,Net Shortwave Surface Radiation,day,W m-2,
rsutcsaf,rsutcsaf,toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",AERmon,W m-2,
rsutaf,rsutaf,toa_outgoing_shortwave_flux,TOA Outgoing Aerosol-Free Shortwave Radiation,AERmon,W m-2,
rlutaf,rlutaf,toa_outgoing_longwave_flux,TOA Outgoing Aerosol-Free Longwave Radiation,AERmon,W m-2,
rlutcsaf,rlutcsaf,toa_outgoing_longwave_flux_assuming_clear_sky,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation",AERmon,W m-2,
ec550aer,ec550aer,volume_extinction_coefficient_in_air_due_to_ambient_aerosol_particles,Aerosol extinction coefficient,6hrLev,m-1,
bs550aer,bs550aer,volume_scattering_function_of_radiative_flux_in_air_due_to_ambient_aerosol_particles,Aerosol backscatter coefficient,6hrLev,m-1 sr-1,
zfullo,zfullo,depth_below_geoid,Depth Below Geoid of Ocean Layer,Eyr,m,
vegHeight,vegHeight,canopy_height,canopy height,Efx,m,
tas,tas,air_temperature,Surface Air Temperature,6hrPlev,K,
uas,uas,eastward_wind,Eastward Near-Surface Wind,6hrPlev,m s-1,
sfcWind,sfcWind,wind_speed,Near-Surface Wind Speed,6hrPlev,m s-1,
psl,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,6hrPlev,Pa,
pr,pr,precipitation_flux,Precipitation,6hrPlev,kg m-2 s-1,
prhmax,prhmax,precipitation_flux,Maximum Hourly Precipitation Rate,6hrPlev,kg m-2 s-1,
uas,uas,eastward_wind,Eastward Near-Surface Wind,6hrPlevPt,m s-1,
vas,vas,northward_wind,Northward Near-Surface Wind,6hrPlevPt,m s-1,
vortmean,vortmean,atmosphere_relative_vorticity,atmosphere_relative_vorticity,6hrPlevPt,s-1,
huss,huss,specific_humidity,Near-Surface Specific Humidity,6hrPlevPt,1,
tas,tas,air_temperature,Surface Air Temperature,6hrPlevPt,K,
sfcWind,sfcWind,wind_speed,Near-Surface Wind Speed,6hrPlevPt,m s-1,
mrsos,mrsos,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column,6hrPlevPt,kg m-2,
tsl,tsl,soil_temperature,Temperature of Near-Surface Soil Layer,6hrPlevPt,K,
mrsol,mrsol,mass_content_of_water_in_soil_layer,Water Content of Soil Layer,6hrPlevPt,kg m-2,
fracLut,fracLut,area_fraction,Percentage of grid cell for each land use tile,Emon,%,
sltnortha,sltnortha,northward_ocean_salt_transport,Atlantic Northward Ocean Salt Transport,EmonZ,kg s-1,
rsutcsaf,rsutcsaf,toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",E3hrPt,W m-2,
rsdscsaf,rsdscsaf,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",E3hrPt,W m-2,
rsuscsaf,rsuscsaf,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,Surface Upwelling Clean Clear-Sky Shortwave Radiation,E3hrPt,W m-2,
rsutcsafbnd,rsutcsafbnd,toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",E3hrPt,W m-2,
rsdscsafbnd,rsdscsafbnd,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",E3hrPt,W m-2,
rsuscsafbnd,rsuscsafbnd,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",E3hrPt,W m-2,
rsucsaf,rsucsaf,upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,Upwelling Clean-Clear-Sky Shortwave Radiation at each level,E3hrPt,W m-2,
rsdcsaf,rsdcsaf,downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,Downwelling Clean-Clear-Sky Shortwave Radiation at each level,E3hrPt,W m-2,
rsucsafbnd,rsucsafbnd,upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",E3hrPt,W m-2,
rsdcsafbnd,rsdcsafbnd,downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Downwelling Clear-Sky, Aerosol-Free, Shortwave Radiation in Bands",E3hrPt,W m-2,
rsuscs,rsuscs,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,CF3hr,W m-2,
ua100m,ua100m,eastward_wind,Eastward Wind at 100m,6hrPlev,m s-1,
va100m,va100m,northward_wind,Northward Wind at 100m,6hrPlev,m s-1,
wsgmax100m,wsgmax100m,wind_speed_of_gust,Maximum Wind Speed of Gust at 100m,6hrPlev,m s-1,
hurs,hurs,relative_humidity,Near-Surface Relative Humidity,6hrPlev,%,
bldep,bldep,atmosphere_boundary_layer_thickness,Boundary Layer Depth,6hrPlev,m,
vas,vas,northward_wind,Northward Near-Surface Wind,6hrPlev,m s-1,
ps,ps,surface_air_pressure,Surface Pressure,Esubhr,Pa,
ps,ps,surface_air_pressure,Surface Pressure,E6hrZ,Pa,
diftrblo2d,diftrblo2d,ocean_tracer_laplacian_diffusivity_due_to_parameterized_mesoscale_eddy_advection,Ocean Tracer Bolus Laplacian Diffusivity,Oclim,m2 s-1,
diftrbbo2d,diftrbbo2d,ocean_tracer_biharmonic_diffusivity_due_to_parameterized_mesoscale_eddy_advection,Ocean Tracer Bolus Biharmonic Diffusivity,Oclim,m4 s-1,
diftrelo2d,diftrelo2d,ocean_tracer_epineutral_laplacian_diffusivity,Ocean Tracer Epineutral Laplacian Diffusivity,Oclim,m2 s-1,
diftrebo2d,diftrebo2d,ocean_tracer_epineutral_biharmonic_diffusivity,Ocean Tracer Epineutral Biharmonic Diffusivity,Oclim,m4 s-1,
diftrxylo2d,diftrxylo2d,ocean_tracer_xy_laplacian_diffusivity,Ocean Tracer XY Laplacian Diffusivity,Oclim,m2 s-1,
diftrxybo2d,diftrxybo2d,ocean_tracer_xy_biharmonic_diffusivity,Ocean Tracer XY Biharmonic Diffusivity,Oclim,m4 s-1,
